Energy(MeV),CrossSection(b)
0.003,1173.58
0.004,983.181
0.005,863.39
0.006,779.501
0.007,716.443
0.008,666.615
0.009,625.779
0.01,591.399
0.012,498.73
0.014,450.07
0.016,411.226
0.018,379.209
0.02,352.251
0.022,329.154
0.024,309.115
0.026,291.557
0.0281,275.322
0.03,262.249
0.0326,246.489
0.0349,234.201
0.037,224.115
0.0399,211.689
0.0424,202.16
0.0451,192.898
0.0472,186.337
0.05,178.353
0.0551,165.685
0.0597,155.954
0.065,146.393
0.0702,138.324
0.0751,131.676
0.0806,125.12
0.0856,119.849
0.09,115.671
0.0947,111.616
0.0999,107.554
0.1099,100.782
0.1197,95.2538
0.1309,89.9164
0.1392,86.4913
0.1509,82.2752
0.1613,79.0179
0.1698,76.6408
0.179,74.3087
0.1961,70.532
0.1998,69.7969
0.2036,69.0683
0.2075,68.348
0.2116,67.6181
0.2157,66.9243
0.22,66.2255
0.2244,65.5378
0.229,64.8468
0.2337,64.1685
0.2385,63.5044
0.2435,62.8394